label,one,two,three,four,five,six,seven,label_bracket,index
2,(,7,+,1,),-,6,1,43855
5,1,+,0,+,4,,,0,43856
22,8,+,(,6,+,8,),1,43857
0,(,9,*,3,),*,0,1,43858
-36,6,-,(,7,*,6,),1,43859
11,(,3,+,7,),+,1,1,43860
11,0,+,7,+,4,,,0,43861
-8,2,*,(,1,-,5,),1,43862
5,(,1,+,9,),-,5,1,43863
16,(,8,*,1,),*,2,1,43864
15,1,+,2,*,7,,,0,43865
-7,7,-,(,7,*,2,),1,43866
7,7,-,7,*,0,,,0,43867
56,0,+,(,8,*,7,),1,43868
43,1,+,(,7,*,6,),1,43869
-6,(,9,-,6,),-,9,1,43870
2,2,+,2,*,0,,,0,43871
18,3,*,(,0,+,6,),1,43872
9,4,+,(,5,+,0,),1,43873
0,(,4,+,4,),-,8,1,43874
43,(,7,*,6,),+,1,1,43875
3,8,-,1,-,4,,,0,43876
22,(,2,+,9,),*,2,1,43877
1,(,0,+,1,),*,1,1,43878
10,5,-,(,1,-,6,),1,43879
6,6,+,6,-,6,,,0,43880
10,(,8,+,2,),-,0,1,43881
-4,0,+,(,3,-,7,),1,43882
0,(,8,*,7,),*,0,1,43883
20,(,8,+,9,),+,3,1,43884
105,(,8,+,7,),*,7,1,43885
13,8,+,(,8,-,3,),1,43886
52,4,*,(,7,+,6,),1,43887
18,(,2,*,5,),+,8,1,43888
8,8,+,0,*,6,,,0,43889
1,7,-,(,6,-,0,),1,43890
13,4,+,(,8,+,1,),1,43891
9,4,+,4,+,1,,,0,43892
15,7,+,(,5,+,3,),1,43893
30,(,7,-,2,),*,6,1,43894
-4,5,-,(,6,+,3,),1,43895
18,5,+,8,+,5,,,0,43896
78,8,*,9,+,6,,,0,43897
-6,4,-,5,-,5,,,0,43898
17,(,4,+,4,),+,9,1,43899
22,(,6,+,5,),*,2,1,43900
4,1,*,(,5,-,1,),1,43901
7,5,+,9,-,7,,,0,43902
-2,(,1,-,5,),+,2,1,43903
15,(,6,+,9,),-,0,1,43904
72,(,2,+,6,),*,9,1,43905
9,6,+,(,0,+,3,),1,43906
10,3,+,(,4,+,3,),1,43907
19,5,+,2,*,7,,,0,43908
9,6,-,(,3,-,6,),1,43909
23,8,+,(,3,*,5,),1,43910
18,1,+,9,+,8,,,0,43911
196,(,4,*,7,),*,7,1,43912
12,6,+,6,+,0,,,0,43913
2,(,2,+,0,),+,0,1,43914
16,7,+,9,+,0,,,0,43915
32,(,3,*,8,),+,8,1,43916
66,9,*,7,+,3,,,0,43917
49,(,0,+,7,),*,7,1,43918
-1,0,-,6,+,5,,,0,43919
63,7,*,9,+,0,,,0,43920
0,(,8,+,8,),*,0,1,43921
21,(,7,+,6,),+,8,1,43922
4,6,-,6,+,4,,,0,43923
-2,2,+,(,4,-,8,),1,43924
5,1,+,4,-,0,,,0,43925
-3,3,-,(,3,*,2,),1,43926
192,(,3,*,8,),*,8,1,43927
11,(,6,*,1,),+,5,1,43928
-1,(,1,-,2,),*,1,1,43929
-3,(,1,-,1,),-,3,1,43930
-6,(,0,+,3,),-,9,1,43931
4,7,-,5,+,2,,,0,43932
-2,8,-,1,-,9,,,0,43933
-2,4,-,0,-,6,,,0,43934
-7,5,-,9,-,3,,,0,43935
14,(,6,+,6,),+,2,1,43936
135,(,9,*,5,),*,3,1,43937
3,(,3,-,0,),+,0,1,43938
-3,(,1,+,2,),-,6,1,43939
2,(,1,+,4,),-,3,1,43940
-2,1,+,1,-,4,,,0,43941
0,9,-,6,-,3,,,0,43942
6,2,-,(,1,-,5,),1,43943
-4,5,*,1,-,9,,,0,43944
10,(,0,+,4,),+,6,1,43945
0,0,*,(,3,-,0,),1,43946
1,4,-,(,2,+,1,),1,43947
7,5,*,1,+,2,,,0,43948
-2,8,-,(,2,*,5,),1,43949
-7,3,-,7,-,3,,,0,43950
63,9,*,(,2,+,5,),1,43951
0,8,-,(,2,*,4,),1,43952
-24,3,-,(,9,*,3,),1,43953
20,3,*,5,+,5,,,0,43954
12,(,2,*,6,),-,0,1,43955
4,(,3,-,6,),+,7,1,43956
-27,(,0,-,9,),*,3,1,43957
18,6,+,(,3,*,4,),1,43958
8,(,1,-,0,),+,7,1,43959
0,(,1,-,1,),*,4,1,43960
126,(,9,+,5,),*,9,1,43961
78,6,+,8,*,9,,,0,43962
0,0,*,(,5,+,6,),1,43963
10,2,+,(,4,+,4,),1,43964
-12,8,-,(,5,*,4,),1,43965
-25,3,-,4,*,7,,,0,43966
6,5,-,5,+,6,,,0,43967
4,(,6,-,1,),-,1,1,43968
8,9,+,(,5,-,6,),1,43969
66,(,4,+,7,),*,6,1,43970
11,6,*,1,+,5,,,0,43971
24,(,1,+,5,),*,4,1,43972
72,1,*,(,8,*,9,),1,43973
45,(,0,+,5,),*,9,1,43974
16,6,+,(,5,+,5,),1,43975
0,7,-,2,-,5,,,0,43976
9,(,1,+,0,),*,9,1,43977
-5,5,-,6,-,4,,,0,43978
0,0,*,7,*,3,,,0,43979
0,(,7,*,2,),*,0,1,43980
18,8,+,(,5,*,2,),1,43981
42,7,*,(,1,*,6,),1,43982
16,6,+,8,+,2,,,0,43983
4,3,-,3,+,4,,,0,43984
-7,9,-,(,9,+,7,),1,43985
21,9,*,3,-,6,,,0,43986
12,(,9,+,3,),+,0,1,43987
69,5,+,8,*,8,,,0,43988
-7,3,-,5,*,2,,,0,43989
0,0,+,6,*,0,,,0,43990
24,6,*,4,*,1,,,0,43991
5,6,*,2,-,7,,,0,43992
30,(,5,+,5,),*,3,1,43993
30,(,9,-,3,),*,5,1,43994
-1,4,-,(,8,-,3,),1,43995
8,1,*,2,*,4,,,0,43996
1,(,2,-,6,),+,5,1,43997
-2,4,+,(,2,-,8,),1,43998
11,(,4,+,8,),-,1,1,43999
-30,6,*,(,2,-,7,),1,44000
25,2,*,9,+,7,,,0,44001
6,1,*,(,8,-,2,),1,44002
8,2,+,(,2,+,4,),1,44003
4,(,5,*,2,),-,6,1,44004
48,(,3,*,4,),*,4,1,44005
13,9,-,(,3,-,7,),1,44006
-4,5,-,(,4,+,5,),1,44007
10,9,+,(,1,-,0,),1,44008
25,(,3,*,6,),+,7,1,44009
-3,2,-,5,*,1,,,0,44010
22,8,+,7,*,2,,,0,44011
70,7,+,(,9,*,7,),1,44012
21,(,2,*,8,),+,5,1,44013
15,(,5,*,4,),-,5,1,44014
46,5,*,9,+,1,,,0,44015
17,1,+,(,9,+,7,),1,44016
8,(,2,+,8,),-,2,1,44017
-8,0,-,(,2,*,4,),1,44018
12,8,*,1,+,4,,,0,44019
-7,(,2,-,4,),-,5,1,44020
0,0,+,(,4,-,4,),1,44021
7,(,0,+,3,),+,4,1,44022
-8,4,*,(,6,-,8,),1,44023
45,(,6,*,6,),+,9,1,44024
27,3,+,4,*,6,,,0,44025
60,5,*,(,7,+,5,),1,44026
99,(,7,+,4,),*,9,1,44027
-12,6,-,(,9,*,2,),1,44028
2,4,-,3,+,1,,,0,44029
5,4,-,5,+,6,,,0,44030
-1,2,-,(,0,+,3,),1,44031
32,4,*,(,9,-,1,),1,44032
5,(,3,-,0,),+,2,1,44033
21,0,+,(,7,*,3,),1,44034
8,3,+,4,+,1,,,0,44035
5,2,*,6,-,7,,,0,44036
18,(,0,+,9,),+,9,1,44037
-8,(,8,-,9,),*,8,1,44038
5,(,4,-,5,),+,6,1,44039
51,7,*,8,-,5,,,0,44040
-4,5,-,0,-,9,,,0,44041
41,5,+,(,9,*,4,),1,44042
-20,4,-,(,8,*,3,),1,44043
11,6,-,1,+,6,,,0,44044
-1,1,-,(,2,+,0,),1,44045
60,(,8,+,2,),*,6,1,44046
20,(,3,*,9,),-,7,1,44047
-7,(,3,-,1,),-,9,1,44048
2,(,5,-,1,),-,2,1,44049
2,5,-,(,6,-,3,),1,44050
-16,(,1,-,5,),*,4,1,44051
-9,(,6,-,7,),*,9,1,44052
140,(,4,*,5,),*,7,1,44053
2,2,-,7,+,7,,,0,44054
8,9,-,(,4,-,3,),1,44055
40,4,*,(,8,+,2,),1,44056
-2,(,3,*,2,),-,8,1,44057
2,7,+,(,0,-,5,),1,44058
8,5,+,(,7,-,4,),1,44059
0,(,1,*,5,),-,5,1,44060
-3,9,-,4,*,3,,,0,44061
0,7,*,(,0,*,8,),1,44062
0,(,8,*,0,),*,9,1,44063
11,9,+,4,-,2,,,0,44064
-13,5,-,(,9,*,2,),1,44065
1,(,0,-,2,),+,3,1,44066
4,(,4,-,8,),+,8,1,44067
18,4,+,(,8,+,6,),1,44068
22,(,5,*,4,),+,2,1,44069
3,(,0,-,3,),+,6,1,44070
18,(,8,+,1,),+,9,1,44071
9,9,*,(,0,+,1,),1,44072
22,7,*,2,+,8,,,0,44073
14,9,+,4,+,1,,,0,44074
6,(,2,*,1,),+,4,1,44075
17,3,*,8,-,7,,,0,44076
13,(,4,+,9,),+,0,1,44077
2,2,-,0,*,9,,,0,44078
56,7,+,(,7,*,7,),1,44079
-1,3,-,4,-,0,,,0,44080
-3,3,-,3,-,3,,,0,44081
-28,(,2,-,6,),*,7,1,44082
5,(,6,+,8,),-,9,1,44083
45,9,*,5,+,0,,,0,44084
504,7,*,8,*,9,,,0,44085
-53,3,-,(,7,*,8,),1,44086
8,9,-,4,+,3,,,0,44087
0,6,*,(,1,-,1,),1,44088
5,5,+,(,0,*,2,),1,44089
-63,9,-,8,*,9,,,0,44090
-20,4,-,(,6,*,4,),1,44091
21,7,*,3,+,0,,,0,44092
0,(,0,*,7,),+,0,1,44093
12,1,*,5,+,7,,,0,44094
7,1,+,(,1,+,5,),1,44095
29,4,*,8,-,3,,,0,44096
0,0,*,(,1,*,9,),1,44097
17,(,2,*,7,),+,3,1,44098
216,6,*,9,*,4,,,0,44099
22,1,+,3,*,7,,,0,44100
0,0,*,(,7,*,4,),1,44101
108,9,*,(,7,+,5,),1,44102
19,9,+,8,+,2,,,0,44103
13,(,4,+,3,),+,6,1,44104
0,6,-,(,1,*,6,),1,44105
12,(,4,*,3,),-,0,1,44106
16,8,*,(,2,-,0,),1,44107
-2,0,-,6,+,4,,,0,44108
20,(,7,*,2,),+,6,1,44109
10,1,*,(,5,*,2,),1,44110
20,4,*,(,5,-,0,),1,44111
28,7,*,5,-,7,,,0,44112
13,5,-,(,1,-,9,),1,44113
0,(,0,-,6,),*,0,1,44114
0,(,5,-,4,),-,1,1,44115
-2,0,*,8,-,2,,,0,44116
4,(,4,*,3,),-,8,1,44117
-3,(,2,-,3,),*,3,1,44118
2,(,3,-,1,),+,0,1,44119
-74,7,-,9,*,9,,,0,44120
14,5,+,3,*,3,,,0,44121
29,5,+,6,*,4,,,0,44122
1,4,-,5,+,2,,,0,44123
0,(,9,+,3,),*,0,1,44124
5,(,0,+,1,),*,5,1,44125
13,6,*,3,-,5,,,0,44126
4,6,-,(,1,+,1,),1,44127
-5,8,-,(,8,+,5,),1,44128
10,(,6,*,1,),+,4,1,44129
10,(,8,+,8,),-,6,1,44130
10,1,+,1,+,8,,,0,44131
19,(,2,*,7,),+,5,1,44132
6,0,-,0,+,6,,,0,44133
-2,9,-,(,5,+,6,),1,44134
28,7,*,(,2,*,2,),1,44135
6,0,+,5,+,1,,,0,44136
11,(,9,-,1,),+,3,1,44137
31,6,*,4,+,7,,,0,44138
7,6,*,2,-,5,,,0,44139
-6,1,+,(,2,-,9,),1,44140
0,0,*,(,6,*,2,),1,44141
17,7,+,3,+,7,,,0,44142
13,1,+,9,+,3,,,0,44143
-1,7,-,(,1,*,8,),1,44144
0,9,*,6,*,0,,,0,44145
6,(,6,+,0,),-,0,1,44146
-7,0,*,7,-,7,,,0,44147
-4,1,*,0,-,4,,,0,44148
17,6,+,4,+,7,,,0,44149
12,9,+,2,+,1,,,0,44150
9,7,+,(,1,+,1,),1,44151
0,(,1,-,3,),*,0,1,44152
11,(,8,+,4,),-,1,1,44153
11,5,+,9,-,3,,,0,44154
65,9,*,8,-,7,,,0,44155
9,9,-,(,0,*,7,),1,44156
81,9,*,(,9,-,0,),1,44157
1,1,-,(,0,*,5,),1,44158
4,1,-,(,2,-,5,),1,44159
12,(,9,-,6,),+,9,1,44160
9,3,*,(,3,-,0,),1,44161
24,6,+,2,*,9,,,0,44162
100,5,*,(,4,*,5,),1,44163
8,(,2,*,5,),-,2,1,44164
12,0,+,(,7,+,5,),1,44165
-2,9,-,5,-,6,,,0,44166
20,1,*,5,*,4,,,0,44167
2,(,0,+,1,),+,1,1,44168
13,5,+,6,+,2,,,0,44169
180,4,*,9,*,5,,,0,44170
36,2,*,6,*,3,,,0,44171
2,2,+,(,7,-,7,),1,44172
-2,9,-,(,9,+,2,),1,44173
79,(,9,*,8,),+,7,1,44174
-3,9,-,4,*,3,,,0,44175
32,4,*,9,-,4,,,0,44176
12,5,-,1,+,8,,,0,44177
10,9,-,(,0,-,1,),1,44178
12,9,+,(,3,*,1,),1,44179
0,8,*,0,*,3,,,0,44180
34,(,9,*,4,),-,2,1,44181
-46,2,-,8,*,6,,,0,44182
9,7,+,2,+,0,,,0,44183
6,5,+,(,2,-,1,),1,44184
77,8,*,9,+,5,,,0,44185
15,5,*,(,3,+,0,),1,44186
-4,3,-,8,+,1,,,0,44187
-56,8,*,(,2,-,9,),1,44188
72,8,*,(,5,+,4,),1,44189
105,3,*,(,7,*,5,),1,44190
7,2,+,2,+,3,,,0,44191
-4,(,5,-,5,),-,4,1,44192
6,(,8,+,2,),-,4,1,44193
1,3,-,(,6,-,4,),1,44194
6,4,-,6,+,8,,,0,44195
3,(,8,-,4,),-,1,1,44196
72,9,+,(,7,*,9,),1,44197
4,0,*,1,+,4,,,0,44198
47,(,8,*,5,),+,7,1,44199
0,(,5,*,3,),*,0,1,44200
-10,(,1,-,2,),-,9,1,44201
26,(,8,*,4,),-,6,1,44202
0,(,1,-,0,),-,1,1,44203
4,(,5,+,8,),-,9,1,44204
2,3,+,(,4,-,5,),1,44205
26,2,*,(,8,+,5,),1,44206
14,6,+,2,+,6,,,0,44207
0,0,*,(,4,-,3,),1,44208
1,6,*,0,+,1,,,0,44209
69,(,8,*,9,),-,3,1,44210
88,(,6,+,5,),*,8,1,44211
4,(,7,-,5,),+,2,1,44212
1,(,3,*,2,),-,5,1,44213
19,3,*,7,-,2,,,0,44214
5,(,0,*,4,),+,5,1,44215
4,3,+,(,1,-,0,),1,44216
-13,0,-,5,-,8,,,0,44217
9,(,5,*,2,),-,1,1,44218
-8,2,*,(,3,-,7,),1,44219
9,6,+,(,9,-,6,),1,44220
-1,(,2,*,3,),-,7,1,44221
20,(,9,+,7,),+,4,1,44222
0,1,*,(,0,*,8,),1,44223
9,(,3,*,1,),+,6,1,44224
5,5,+,7,-,7,,,0,44225
-6,(,5,-,6,),*,6,1,44226
0,0,*,(,0,+,9,),1,44227
8,4,+,4,-,0,,,0,44228
69,6,+,9,*,7,,,0,44229
32,8,*,(,2,*,2,),1,44230
0,(,1,+,4,),*,0,1,44231
6,0,*,7,+,6,,,0,44232
82,9,*,9,+,1,,,0,44233
12,7,+,9,-,4,,,0,44234
-7,2,-,5,-,4,,,0,44235
5,8,+,(,4,-,7,),1,44236
-1,1,*,(,2,-,3,),1,44237
2,(,2,+,1,),-,1,1,44238
41,(,8,*,5,),+,1,1,44239
1,0,+,1,-,0,,,0,44240
44,4,*,(,5,+,6,),1,44241
16,2,+,(,7,*,2,),1,44242
-12,6,-,6,*,3,,,0,44243
17,8,*,2,+,1,,,0,44244
47,6,*,7,+,5,,,0,44245
11,1,+,(,6,+,4,),1,44246
-10,2,*,(,3,-,8,),1,44247
79,(,9,*,8,),+,7,1,44248
21,(,9,*,2,),+,3,1,44249
12,(,2,*,5,),+,2,1,44250
16,0,+,4,*,4,,,0,44251
16,4,+,6,*,2,,,0,44252
18,6,+,(,4,*,3,),1,44253
-22,8,-,(,6,*,5,),1,44254
-7,8,-,7,-,8,,,0,44255
8,(,7,+,2,),-,1,1,44256
12,3,*,(,8,-,4,),1,44257
0,0,+,(,7,-,7,),1,44258
6,6,+,0,+,0,,,0,44259
126,2,*,7,*,9,,,0,44260
13,2,*,6,+,1,,,0,44261
3,0,+,0,+,3,,,0,44262
15,9,+,2,+,4,,,0,44263
12,(,1,*,3,),*,4,1,44264
0,4,-,4,+,0,,,0,44265
6,2,+,(,0,+,4,),1,44266
21,8,*,2,+,5,,,0,44267
-2,(,0,-,9,),+,7,1,44268
-7,8,-,8,-,7,,,0,44269
108,9,*,(,5,+,7,),1,44270
-6,0,+,3,-,9,,,0,44271
-8,(,9,-,9,),-,8,1,44272
3,3,-,3,+,3,,,0,44273
34,5,*,5,+,9,,,0,44274
54,(,3,+,3,),*,9,1,44275
19,9,+,(,5,+,5,),1,44276
105,7,*,3,*,5,,,0,44277
4,6,-,(,5,-,3,),1,44278
66,(,4,+,7,),*,6,1,44279
6,6,+,8,-,8,,,0,44280
16,7,+,(,9,-,0,),1,44281
2,2,+,(,1,-,1,),1,44282
0,(,0,*,2,),*,1,1,44283
26,1,+,(,5,*,5,),1,44284
8,8,-,(,1,*,0,),1,44285
35,(,7,*,5,),*,1,1,44286
-2,0,+,(,7,-,9,),1,44287
5,4,-,(,7,-,8,),1,44288
6,7,+,4,-,5,,,0,44289
5,8,-,2,-,1,,,0,44290
16,8,+,0,+,8,,,0,44291
36,8,+,7,*,4,,,0,44292
4,6,-,3,+,1,,,0,44293
33,(,3,*,9,),+,6,1,44294
105,(,7,*,5,),*,3,1,44295
6,(,2,*,7,),-,8,1,44296
5,1,*,(,5,+,0,),1,44297
3,7,-,6,+,2,,,0,44298
9,6,+,(,3,*,1,),1,44299
-3,(,5,*,0,),-,3,1,44300
-7,2,-,2,-,7,,,0,44301
-1,(,8,*,0,),-,1,1,44302
-5,1,*,(,1,-,6,),1,44303
63,(,6,+,3,),*,7,1,44304
0,4,+,1,-,5,,,0,44305
-4,7,-,(,7,+,4,),1,44306
15,(,1,*,8,),+,7,1,44307
19,6,+,(,5,+,8,),1,44308
10,0,+,5,+,5,,,0,44309
10,8,+,(,0,+,2,),1,44310
7,8,+,5,-,6,,,0,44311
7,3,+,4,-,0,,,0,44312
10,3,+,(,4,+,3,),1,44313
24,7,*,4,-,4,,,0,44314
-21,3,-,8,*,3,,,0,44315
6,0,*,1,+,6,,,0,44316
2,(,9,-,6,),-,1,1,44317
5,5,+,5,*,0,,,0,44318
-9,0,-,4,-,5,,,0,44319
42,(,1,*,7,),*,6,1,44320
13,(,6,+,4,),+,3,1,44321
0,0,*,6,*,5,,,0,44322
14,5,+,1,+,8,,,0,44323
11,6,-,4,+,9,,,0,44324
4,(,4,*,2,),-,4,1,44325
-34,8,-,6,*,7,,,0,44326
-9,(,7,-,9,),-,7,1,44327
33,1,+,(,4,*,8,),1,44328
150,5,*,6,*,5,,,0,44329
3,(,1,+,2,),+,0,1,44330
0,(,9,-,3,),-,6,1,44331
11,4,*,4,-,5,,,0,44332
4,(,2,*,1,),*,2,1,44333
6,2,+,0,+,4,,,0,44334
20,5,+,8,+,7,,,0,44335
6,2,*,(,9,-,6,),1,44336
13,(,7,-,2,),+,8,1,44337
38,2,+,(,9,*,4,),1,44338
8,9,-,1,-,0,,,0,44339
3,3,-,(,2,*,0,),1,44340
15,(,9,-,4,),*,3,1,44341
72,6,*,(,4,*,3,),1,44342
11,3,+,(,6,+,2,),1,44343
81,9,*,(,1,*,9,),1,44344
7,9,+,1,-,3,,,0,44345
48,8,*,(,3,*,2,),1,44346
72,9,+,(,9,*,7,),1,44347
8,2,*,4,+,0,,,0,44348
16,2,*,2,*,4,,,0,44349
7,7,-,0,*,9,,,0,44350
57,7,*,8,+,1,,,0,44351
1,2,*,4,-,7,,,0,44352
11,(,7,+,1,),+,3,1,44353
11,(,1,+,4,),+,6,1,44354
21,7,*,(,3,+,0,),1,44355
0,9,*,(,0,+,0,),1,44356
-8,2,-,(,3,+,7,),1,44357
22,8,+,9,+,5,,,0,44358
4,1,*,1,*,4,,,0,44359
1,2,-,8,+,7,,,0,44360
0,(,0,*,5,),*,0,1,44361
81,(,9,-,0,),*,9,1,44362
90,9,*,(,7,+,3,),1,44363
5,9,-,1,*,4,,,0,44364
-16,(,1,-,3,),*,8,1,44365
9,6,-,3,+,6,,,0,44366
0,2,+,5,-,7,,,0,44367
1,7,+,2,-,8,,,0,44368
-2,(,8,-,9,),-,1,1,44369
2,2,+,0,*,6,,,0,44370
-1,0,*,4,-,1,,,0,44371
-3,2,-,(,1,+,4,),1,44372
3,5,-,(,9,-,7,),1,44373
144,6,*,3,*,8,,,0,44374
0,1,-,9,+,8,,,0,44375
108,6,*,2,*,9,,,0,44376
7,5,-,(,2,-,4,),1,44377
22,9,+,(,4,+,9,),1,44378
-10,(,0,-,9,),-,1,1,44379
0,8,*,3,*,0,,,0,44380
12,2,+,(,7,+,3,),1,44381
18,9,+,(,6,+,3,),1,44382
32,7,*,5,-,3,,,0,44383
7,(,1,-,0,),+,6,1,44384
2,1,+,(,1,-,0,),1,44385
-13,(,2,-,6,),-,9,1,44386
2,(,9,-,8,),+,1,1,44387
-54,0,-,(,9,*,6,),1,44388
60,3,*,(,4,*,5,),1,44389
25,8,*,2,+,9,,,0,44390
45,(,4,+,1,),*,9,1,44391
1,7,-,9,+,3,,,0,44392
7,6,-,0,+,1,,,0,44393
-8,3,-,8,-,3,,,0,44394
-32,8,*,(,5,-,9,),1,44395
1,2,+,5,-,6,,,0,44396
50,5,*,(,1,+,9,),1,44397
3,5,-,(,2,-,0,),1,44398
26,8,+,2,*,9,,,0,44399
68,4,+,8,*,8,,,0,44400
30,3,*,7,+,9,,,0,44401
10,5,+,(,6,-,1,),1,44402
22,(,6,+,5,),*,2,1,44403
21,(,8,-,5,),*,7,1,44404
-3,(,0,-,0,),-,3,1,44405
14,7,*,(,4,-,2,),1,44406
27,4,*,7,-,1,,,0,44407
8,9,+,4,-,5,,,0,44408
-5,0,+,3,-,8,,,0,44409
-7,2,+,0,-,9,,,0,44410
108,4,*,(,3,*,9,),1,44411
8,(,2,+,1,),+,5,1,44412
36,4,*,(,9,-,0,),1,44413
-2,2,-,(,7,-,3,),1,44414
0,7,*,7,*,0,,,0,44415
48,(,8,*,2,),*,3,1,44416
4,2,*,(,1,+,1,),1,44417
7,(,2,-,3,),+,8,1,44418
2,0,+,8,-,6,,,0,44419
8,7,-,0,+,1,,,0,44420
-18,(,3,-,9,),*,3,1,44421
24,(,4,+,4,),*,3,1,44422
9,2,+,(,5,+,2,),1,44423
24,6,*,4,*,1,,,0,44424
72,(,3,+,6,),*,8,1,44425
9,9,+,0,*,9,,,0,44426
0,0,+,(,0,*,3,),1,44427
16,7,+,(,7,+,2,),1,44428
-8,(,0,-,8,),*,1,1,44429
135,(,3,*,5,),*,9,1,44430
77,9,*,8,+,5,,,0,44431
18,3,*,6,*,1,,,0,44432
0,(,9,*,4,),*,0,1,44433
14,6,*,3,-,4,,,0,44434
-8,4,-,(,6,+,6,),1,44435
52,9,*,6,-,2,,,0,44436
16,(,5,+,3,),*,2,1,44437
-6,7,-,(,7,+,6,),1,44438
15,(,3,+,2,),*,3,1,44439
8,1,*,(,1,*,8,),1,44440
16,4,+,(,5,+,7,),1,44441
15,(,7,+,3,),+,5,1,44442
23,9,+,5,+,9,,,0,44443
4,7,+,3,-,6,,,0,44444
9,(,2,+,5,),+,2,1,44445
9,(,9,-,2,),+,2,1,44446
-9,(,3,-,6,),-,6,1,44447
8,2,*,8,-,8,,,0,44448
17,(,3,*,6,),-,1,1,44449
-5,5,-,(,8,+,2,),1,44450
2,6,-,(,4,-,0,),1,44451
44,(,8,*,5,),+,4,1,44452
9,5,+,(,9,-,5,),1,44453
12,(,0,+,8,),+,4,1,44454
90,3,*,5,*,6,,,0,44455
4,6,-,(,3,-,1,),1,44456
-1,5,+,(,0,-,6,),1,44457
9,(,3,+,6,),+,0,1,44458
30,0,+,5,*,6,,,0,44459
0,6,-,(,9,-,3,),1,44460
6,9,*,0,+,6,,,0,44461
7,9,-,(,2,*,1,),1,44462
16,(,2,+,8,),+,6,1,44463
-2,0,-,(,9,-,7,),1,44464
9,3,*,(,3,+,0,),1,44465
24,5,*,5,-,1,,,0,44466
8,0,+,(,8,*,1,),1,44467
-9,(,1,-,2,),-,8,1,44468
14,(,6,-,0,),+,8,1,44469
-4,(,0,-,4,),-,0,1,44470
-2,2,-,7,+,3,,,0,44471
1,3,+,(,4,-,6,),1,44472
72,4,*,3,*,6,,,0,44473
-4,6,-,9,-,1,,,0,44474
0,0,*,6,*,0,,,0,44475
-7,1,-,(,2,+,6,),1,44476
8,9,-,2,+,1,,,0,44477
6,(,5,+,7,),-,6,1,44478
6,(,0,+,0,),+,6,1,44479
0,4,*,(,6,-,6,),1,44480
9,2,-,1,+,8,,,0,44481
8,9,+,(,0,-,1,),1,44482
0,(,0,*,9,),+,0,1,44483
5,(,3,+,2,),-,0,1,44484
-1,4,+,1,-,6,,,0,44485
-10,6,-,8,*,2,,,0,44486
-56,0,-,7,*,8,,,0,44487
22,7,+,(,9,+,6,),1,44488
1,9,-,(,2,+,6,),1,44489
7,1,*,4,+,3,,,0,44490
-11,1,-,(,8,+,4,),1,44491
36,1,+,(,5,*,7,),1,44492
13,9,-,(,1,-,5,),1,44493
-21,9,-,5,*,6,,,0,44494
7,7,-,6,*,0,,,0,44495
20,(,5,*,3,),+,5,1,44496
2,0,+,(,2,+,0,),1,44497
-1,3,-,7,+,3,,,0,44498
140,7,*,4,*,5,,,0,44499
8,(,3,*,3,),-,1,1,44500
0,7,+,1,-,8,,,0,44501
33,(,4,+,7,),*,3,1,44502
74,2,+,8,*,9,,,0,44503
-7,8,-,(,3,*,5,),1,44504
-1,7,-,(,9,-,1,),1,44505
-2,0,*,2,-,2,,,0,44506
25,1,+,(,4,*,6,),1,44507
-1,(,1,+,0,),-,2,1,44508
-65,7,-,(,8,*,9,),1,44509
27,3,*,9,-,0,,,0,44510
3,(,8,-,7,),+,2,1,44511
3,(,6,+,5,),-,8,1,44512
-2,0,+,3,-,5,,,0,44513
-5,3,-,(,6,+,2,),1,44514
0,(,4,*,1,),*,0,1,44515
57,3,+,(,9,*,6,),1,44516
-1,(,6,-,7,),-,0,1,44517
22,2,*,(,2,+,9,),1,44518
-8,(,4,-,5,),*,8,1,44519
7,1,-,(,1,-,7,),1,44520
11,(,6,-,0,),+,5,1,44521
24,(,9,+,7,),+,8,1,44522
11,(,4,*,4,),-,5,1,44523
6,6,-,(,6,*,0,),1,44524
7,7,-,4,+,4,,,0,44525
-52,2,-,9,*,6,,,0,44526
-2,0,+,0,-,2,,,0,44527
7,5,+,(,6,-,4,),1,44528
8,9,*,0,+,8,,,0,44529
11,(,1,*,2,),+,9,1,44530
-4,5,-,(,7,+,2,),1,44531
16,4,+,8,+,4,,,0,44532
-20,1,-,3,*,7,,,0,44533
0,2,*,(,7,-,7,),1,44534
-4,3,-,(,4,+,3,),1,44535
-14,1,-,(,6,+,9,),1,44536
55,(,7,*,7,),+,6,1,44537
0,9,*,(,0,-,0,),1,44538
8,(,1,*,8,),*,1,1,44539
12,(,3,+,9,),+,0,1,44540
0,(,3,+,6,),*,0,1,44541
4,1,-,(,1,-,4,),1,44542
-22,3,-,(,5,*,5,),1,44543
60,6,*,(,3,+,7,),1,44544
1,3,+,5,-,7,,,0,44545
17,3,+,(,7,*,2,),1,44546
2,(,2,-,1,),*,2,1,44547
5,8,+,(,2,-,5,),1,44548
10,(,3,+,5,),+,2,1,44549
-60,4,-,8,*,8,,,0,44550
3,(,8,-,6,),+,1,1,44551
-31,9,-,(,8,*,5,),1,44552
18,(,3,*,4,),+,6,1,44553
16,(,5,*,2,),+,6,1,44554
48,6,*,1,*,8,,,0,44555
-2,7,+,(,0,-,9,),1,44556
-1,8,-,8,-,1,,,0,44557
